video,subject,rating,video_mean,video_std,deviation,n_sigma
Video13_Ai.mp4,eb24e838-af12-ca5f-0c57-198cff289267,5,1.6972477064220184,1.0497317748760897,3.3027522935779814,3.1462821004611756
Video13_Ai.mp4,8c401d22-34e1-ed87-3040-42a026c97b21,5,1.6972477064220184,1.0497317748760897,3.3027522935779814,3.1462821004611756
Video13_Ai.mp4,2052ba45-3891-3672-ac07-378a95fa8c60,5,1.6972477064220184,1.0497317748760897,3.3027522935779814,3.1462821004611756
Video13_Ai.mp4,377678d3-4afe-710d-0f1b-fca822b144d7,5,1.6972477064220184,1.0497317748760897,3.3027522935779814,3.1462821004611756
Video08_Ai.mp4,a1b9f807-3ba3-0829-f29a-ece19fd1f083,5,1.9537037037037037,1.130579697962111,3.0462962962962963,2.6944551558703
Video08_Ai.mp4,debb6d92-69ba-2878-c417-eefd46d94795,5,1.9537037037037037,1.130579697962111,3.0462962962962963,2.6944551558703
Video24_Real.mp4,f8c58981-bdca-2223-33f2-64b3e5d94720,2,4.648148148148148,0.6162111365132034,2.648148148148148,4.297468823969245
Video24_Real.mp4,b0ad9065-c490-b275-e345-0c47abe26959,3,4.648148148148148,0.6162111365132034,1.648148148148148,2.6746484289039354
Video24_Real.mp4,c967ff42-1dcd-7938-5601-93b6c5664aae,3,4.648148148148148,0.6162111365132034,1.648148148148148,2.6746484289039354
Video24_Real.mp4,1362b435-1ce6-7142-2928-527c7e82c129,3,4.648148148148148,0.6162111365132034,1.648148148148148,2.6746484289039354
Video24_Real.mp4,1e4ce7f1-54f0-195a-a525-09ccd31520e1,3,4.648148148148148,0.6162111365132034,1.648148148148148,2.6746484289039354
Video24_Real.mp4,e5331267-4f92-a3b6-535a-1f3535a2ee67,3,4.648148148148148,0.6162111365132034,1.648148148148148,2.6746484289039354
Video25_Real.mp4,d95fe349-ad39-f6ab-1055-dd22ae86b7c0,1,3.8425925925925926,1.0245768402744913,2.8425925925925926,2.7744064484524578
Video25_Real.mp4,cf820008-689a-a6e1-7a28-346fd7923418,1,3.8425925925925926,1.0245768402744913,2.8425925925925926,2.7744064484524578
Video25_Real.mp4,3acc5e90-15a9-5680-46c5-b4879be1f7e4,1,3.8425925925925926,1.0245768402744913,2.8425925925925926,2.7744064484524578
Video25_Real.mp4,1178c991-1394-2ff3-fb16-54e7f71bcca1,1,3.8425925925925926,1.0245768402744913,2.8425925925925926,2.7744064484524578
Video04_Ai.mp4,d95fe349-ad39-f6ab-1055-dd22ae86b7c0,5,1.614678899082569,0.9991501655641782,3.385321100917431,3.3882005103866266
