subject,n_ratings,mean_rating,std_rating,correlation,correlation_pvalue,kurtosis,mean_abs_deviation,is_low_correlation,is_high_kurtosis,is_high_deviation,outlier_score,is_outlier
59e7aa3e-a416-0f78-f6e5-473aa4453dd6,27,3.3703703703703702,1.6904288975138402,0.6702631331653217,0.00013070939855520545,-1.4148049371327691,1.073243593395075,False,False,False,0,False
0e178a98-d08c-f9f6-4e9b-0fe4eb2ce9ca,5,2.4,1.51657508881031,0.842811027847959,0.07302178932912647,-1.7703213610586006,0.918930748930749,False,False,False,0,False
f8c58981-bdca-2223-33f2-64b3e5d94720,27,3.259259259259259,1.4030897935132194,0.5083424483316578,0.0067820721327160145,-1.2036761672192198,0.9970469404717683,False,False,False,0,False
79a49caf-7449-1033-43ca-a6e9ec5fcbc0,27,2.962962962962963,1.5806882989936688,0.7623319768656593,3.8129588178892107e-06,-1.5182076088666532,0.8358692501458695,False,False,False,0,False
cc636db8-32ce-5418-b6f9-946472e1a819,27,3.074074074074074,1.5671121388849156,0.6871615591719995,7.516459136882679e-05,-1.453585521180441,0.9695603860024479,False,False,False,0,False
e2a12898-a924-751e-456f-5d7b4a45f24d,27,3.3333333333333335,1.3301243435223524,0.6966920517423928,5.413084465203477e-05,-1.0519848771266536,0.8059263550993385,False,False,False,0,False
b071e81c-6c1d-12c8-9c1f-064839f3940d,27,3.259259259259259,1.3471506281091268,0.4438557298331132,0.0203843407830253,-1.024347596785363,1.032405908447019,True,False,False,1,False
1c121534-02f1-77bf-629e-4e2566f9df5d,27,3.2222222222222223,1.5525000516123695,0.5944034432855015,0.0010774061773168176,-1.4317564508827523,0.9799544714991846,False,False,False,0,False
9af53cfa-b34d-cb99-d06e-8e005d186f8d,27,2.5555555555555554,1.5275252316519465,0.4009803035430659,0.03818544855122926,-1.3489312884917277,1.2553370893480273,True,False,False,1,False
d95fe349-ad39-f6ab-1055-dd22ae86b7c0,27,3.1481481481481484,1.6572382889731778,0.38962476876562147,0.0445436560588531,-1.684659139821972,1.1665911369037802,True,False,False,1,False
854f9938-5372-e0a5-5559-3350a3362831,27,3.5185185185185186,0.9352239703107885,0.12117451021915979,0.5471256852211981,0.47792019013464415,1.0737604557109046,True,False,False,1,True
6199a0a6-06e5-a224-f6be-4dc5315bcf35,27,3.2222222222222223,1.3397282541141675,0.7019036807292026,4.499742609557714e-05,-1.2391836734693877,0.7331692220975574,False,False,False,0,False
0a5cf086-df2e-b6b6-241c-9864ee8e889e,27,3.5185185185185186,1.3691763489937572,0.6423296593556338,0.0003034243734723131,-0.9403530085642222,0.8874963608356696,False,False,False,0,False
cf820008-689a-a6e1-7a28-346fd7923418,27,2.5185185185185186,1.6259995829872294,0.5233298481017707,0.0050914388738020145,-1.5719114614298455,1.2457818248270542,False,False,False,0,False
6af66b2e-9c34-f468-acfb-fca0f1a25fbd,27,3.074074074074074,1.491667263524686,0.6969774144266081,5.359116621034815e-05,-1.4135797206706662,0.9021486231578346,False,False,False,0,False
2310cea3-2d26-e03e-0765-6a1051283a23,27,3.2962962962962963,1.137298242963249,0.7441877337832037,8.584400855505373e-06,-0.6664402569426926,0.5501224352781563,False,False,False,0,False
b0ad9065-c490-b275-e345-0c47abe26959,27,3.7037037037037037,0.9928519455361839,0.5258598118172662,0.004844710472299837,-1.0553977747335355,0.9147154672036407,False,False,False,0,False
eb24e838-af12-ca5f-0c57-198cff289267,27,3.4074074074074074,1.3660515605557744,0.20196958567364032,0.3123679854361158,-1.0901567507721,1.1699796615061357,True,False,False,1,True
f6f114b7-8990-ca95-16e3-54f886d1284f,27,2.962962962962963,1.8497709105866116,0.6430247174598002,0.00029743138767122907,-1.8377181518870271,1.2139102380455116,False,False,False,0,False
6df27fb3-c9d9-a0c2-a324-214f384cda6d,27,2.925925925925926,1.4121975762272057,0.7273529771377869,1.7210451456333054e-05,-1.2614999999999996,0.7544846821820274,False,False,False,0,False
2531d012-ec12-2845-9091-25224d7f4ed0,27,3.185185185185185,1.387777332977422,0.6149995236888773,0.0006407812396888605,-1.0865690977206688,0.8134289765041071,False,False,False,0,False
3afb4a0b-83da-9b20-fa0d-9cb0c6fab274,27,3.5555555555555554,1.5021352323976214,0.6127512515127147,0.0006793581749207774,-1.1327479338842972,1.0515903023685522,False,False,False,0,False
397f35ce-5f9d-e66b-e885-5ae71dd21c27,27,3.6666666666666665,1.5932550136313832,0.809071866331748,3.247713303992265e-07,-0.8801652892561997,0.9675844515858416,False,False,False,0,False
496d66df-a2a9-a97b-5c67-5992339d52e7,27,2.7777777777777777,1.5525000516123695,0.7326552803172841,1.3900994537053383e-05,-1.5325939339067454,0.912065027806552,False,False,False,0,False
f369f867-6415-916a-d3a3-f6257c8c7175,6,4.0,0.6324555320336759,0.11385122808963383,0.8299610334890392,0.0,0.4984791505433708,True,False,False,1,True
384eeb41-f8e7-de51-237f-124f6387ef12,27,3.3333333333333335,1.7541160386140582,0.49565194302021126,0.008562202048622515,-1.543124999999999,1.2789848483800605,True,False,False,1,False
5a1859cb-a239-c3d5-b755-cff81b8b1d8a,27,3.3333333333333335,1.7759071354792608,0.6863980192563428,7.712728306273706e-05,-1.6481261154074947,1.1100891419963819,False,False,False,0,False
a13dfe31-56a9-0a55-b159-098f59ead191,27,3.3703703703703702,1.5228553178448436,0.8321955692305317,7.391028132629466e-08,-1.2712633339168968,0.781744639573042,False,False,False,0,False
fb45e1f2-a326-9d6f-edb7-568e7bf30d52,27,2.740740740740741,1.508758852949429,0.8415218087799498,3.8148893836463904e-08,-1.4363346861925346,0.7997658387406967,False,False,False,0,False
a1b9f807-3ba3-0829-f29a-ece19fd1f083,27,4.37037037037037,1.3908533116302864,0.5387033373735113,0.0037427483141797943,1.5431349923325675,1.5194431796301013,False,False,False,0,False
8c401d22-34e1-ed87-3040-42a026c97b21,27,3.3703703703703702,2.002846976530162,0.6605440795570027,0.0001769226555063374,-1.8579545454545452,1.3923370373636386,False,False,False,0,False
